TrainID,TrainName,SourceStation,DestinationStation,DepartureTime,ArrivalTime,TotalDistance,TravelDays,TrainType,Classes
TR001,Rajdhani Express,ST001,ST003,16:55,10:05,1445,1,Superfast,"1A,2A,3A"
TR002,Duronto Express,ST001,ST002,20:25,08:35,1384,1,Superfast,"1A,2A,3A,SL"
TR003,Shatabdi Express,ST001,ST009,06:05,10:45,308,0,Superfast,"CC,EC"
TR004,Mail Express,ST001,ST004,22:30,09:15,2180,2,Mail,"1A,2A,3A,SL"
TR005,Passenger Train,ST001,ST010,05:30,14:20,495,0,Passenger,"2S,SL"
TR006,Intercity Express,ST001,ST030,06:50,09:50,195,0,Superfast,"CC,2S"
TR007,Garib Rath,ST002,ST005,15:20,06:40,985,1,Superfast,"3A,SL"
TR008,Tejas Express,ST002,ST007,05:50,09:35,120,0,Superfast,"CC,EC"
TR009,Double Decker,ST002,ST008,14:35,21:25,492,0,Express,"CC,2S"
TR010,Humsafar Express,ST003,ST006,18:10,16:20,1215,1,Superfast,"3A,SL"
TR011,Vande Bharat,ST001,ST033,15:00,17:30,150,0,Superfast,"CC,EC"
TR012,Sampark Kranti,ST001,ST016,22:40,12:15,449,1,Superfast,"1A,2A,3A,SL"
TR013,Antyodaya Express,ST004,ST005,23:15,04:30,280,0,Superfast,"2S,SL"
TR014,Mahamana Express,ST001,ST015,11:35,04:50,765,1,Superfast,"1A,2A,3A,SL"
TR015,Yuva Express,ST010,ST001,17:45,22:50,495,0,Express,"3A,SL,2S"
TR016,Uday Express,ST004,ST020,05:40,12:30,495,0,Double Decker,"CC,2S"
TR017,Jan Shatabdi,ST009,ST001,15:30,20:15,308,0,Express,"CC,2S"
TR018,Rajya Rani,ST010,ST047,06:15,12:30,545,0,Express,"CC,2S,SL"
TR019,Link Express,ST006,ST012,20:45,06:30,560,1,Mail,"2A,3A,SL"
TR020,Superfast Express,ST002,ST013,22:00,10:45,685,1,Superfast,"1A,2A,3A,SL"
TR021,Mysore Shivamogga Express,ST051,ST053,07:00,10:00,275,0,Express,"CC,2S"
TR022,Bengaluru Hassan Express,ST005,ST052,09:00,11:30,180,0,Express,"CC,2S"
